plot,scan_plot,tag,stem_id,distance_m,direction_deg,x_canopy_dim_m,y_canopy_dim_m,notes_scan,base_stem_id,height_m,dec_latitude,dec_longitude,species_binomial,dbh_cm
8,3,71,8_71,5.5,245,2.3,2.2,NA,8_71,8,-15.10801502,14.87209998,Julbernardia paniculata,9.7
8,3,70,8_70,6.3,252,10.8,11.8,NA,8_70,20,-15.108013,14.872104,Erythrophleum africanum,42.2
8,3,597,8_597,6.3,252,NA,NA,NA,8_597,1.6,-15.107983,14.87211398,Terminalia sericea,8.5
8,3,74,8_74,2.1,334,1.8,1.4,NA,8_74,2.8,-15.10795198,14.87216201,Combretum hereroense,5.2
8,3,84,8_84,10.2,334,5.9,5,NA,8_84,3.8,-15.10790798,14.87212798,Julbernardia paniculata,18.7
8,4,284,8_284,3,332,2.5,1.8,NA,8_284,8,-15.10822699,14.87224599,Erythrophleum africanum,12.8
8,4,288,8_288,9.3,146,6.7,7.5,NA,8_288,9.6,-15.10830997,14.87233199,Julbernardia paniculata,22.2
8,4,287,8_287,5.4,80,8.9,9.3,NA,8_287,13,-15.10831903,14.87227399,Burkea africana,30.7
8,4,285,8_285,4.7,257,7.3,7.3,NA,8_285,11.2,-15.10828299,14.87223904,Burkea africana,34.6
8,5,252,8_252,5,300,6,8.8,NA,8_252,14.2,-15.10836203,14.87191097,Julbernardia paniculata,26.4
8,5,256,8_256,5.8,300,8,4.3,NA,8_256,4.8,-15.10827502,14.87199102,Burkea africana,9.3
8,5,265,8_265,1.9,8,2.1,3,NA,8_265,5.6,-15.108358,14.87195699,Burkea africana,12
8,5,266,8_266,1.9,8,2.1,3,NA,8_265,5.6,-15.108358,14.87193,Burkea africana,6.7
8,5,272,8_272,3.8,108,1,0.9,NA,8_272,4.6,-15.108386,14.871989,Burkea africana,7.4
8,5,271,8_271,4.6,118,0.8,0.9,NA,8_271,4.6,-15.10838801,14.87197903,Burkea africana,9.6
8,5,270,8_270,3.2,122,2,2,NA,8_269,4.6,-15.10838097,14.87198004,Erythrophleum africanum,9.1
8,5,269,8_269,3.2,122,2,2,NA,8_269,4.8,-15.10839203,14.87198498,Erythrophleum africanum,9
8,5,268,8_268,3.8,148,2,2.1,NA,8_267,6.2,-15.10839002,14.87198398,Burkea africana,11
8,5,267,8_267,3.8,148,2,2,NA,8_267,6.2,-15.10838399,14.871974,Burkea africana,12
8,6,228,8_228,2.7,264,2.7,3,NA,8_227,6.8,-15.10842104,14.87163998,Burkea africana,12.9
8,6,227,8_227,2.9,270,2.7,3,NA,8_227,6.8,-15.10842003,14.87163898,Burkea africana,13.5
8,6,226,8_226,3.3,252,2.5,3.1,NA,8_226,11.4,-15.10841601,14.87164199,Julbernardia paniculata,15.6
8,6,224,8_224,4,252,0.9,0.9,NA,8_224,3.2,-15.10843503,14.87162297,Burkea africana,7.3
