"type","subplot","n"
"denoise_laz","S3S4",31513274
"denoise_laz","S3S5",17535816
"denoise_laz","S3S6",31500184
"denoise_laz","S3S7",29054325
"denoise_laz","S3S8",32504037
"denoise_laz","S3S9",17265336
"denoise_laz","S5S1",63313726
"denoise_laz","S5S2",28048118
"denoise_laz","S5S3",59496347
"denoise_laz","S5S4",71021703
"denoise_laz","S5S5",66812851
"denoise_laz","S5S6",56687528
"denoise_laz","S5S7",55804409
"denoise_laz","S5S8",66407747
"denoise_laz","S5S9",68064515
"denoise_laz","S7S1",14540648
"denoise_laz","S7S2",30861478
"denoise_laz","S7S3",30657010
"denoise_laz","S7S4",30310598
"denoise_laz","S7S5",15555003
"denoise_laz","S7S6",14126576
"denoise_laz","S7S7",33561463
"denoise_laz","S7S8",16082982
"denoise_laz","S7S9",16430471
"denoise_laz","W11S1",25608306
"denoise_laz","W11S2",70543688
"denoise_laz","W11S3",58153794
"denoise_laz","W11S4",62019373
"denoise_laz","W11S5",58243255
"denoise_laz","W11S6",79396714
"denoise_laz","W11S7",30095842
"denoise_laz","W11S8",62369688
"denoise_laz","W11S9",67112728
"denoise_laz","W18S1",55993979
"denoise_laz","W18S2",47199320
"denoise_laz","W18S3",35923963
"denoise_laz","W18S4",98848761
"denoise_laz","W18S5",65048114
"denoise_laz","W18S6",62690726
"denoise_laz","W18S7",52314328
"denoise_laz","W18S8",25812045
"denoise_laz","W18S9",58035617
"denoise_laz","W26S1",71725510
"denoise_laz","W26S2",47199320
"denoise_laz","W26S3",48504739
"denoise_laz","W26S4",62739154
"denoise_laz","W26S5",39275629
"denoise_laz","W26S7",47912572
"denoise_laz","W26S8",62074530
"denoise_laz","W26S9",57239459
"denoise_laz","W9S1",51895711
"denoise_laz","W9S2",49835393
"denoise_laz","W9S3",20457107
"denoise_laz","W9S4",26909896
"denoise_laz","W9S5",26929103
"denoise_laz","W9S6",51706529
"denoise_laz","W9S7",50496194
"denoise_laz","W9S8",19320836
"denoise_laz","W9S9",28661698
"ptx","S3S1",315939348
"ptx","S3S2",169295114
"ptx","S3S3",345931540
"ptx","S3S4",348216852
"ptx","S3S5",174270218
"ptx","S3S6",348520212
"ptx","S3S7",296941840
"ptx","S3S8",348540436
"ptx","S3S9",174249994
"ptx","S5S1",344859668
"ptx","S5S2",174270218
"ptx","S5S3",348540436
"ptx","S5S4",348540436
"ptx","S5S5",348540436
"ptx","S5S6",348540436
"ptx","S5S7",348520212
"ptx","S5S8",348479764
"ptx","S5S9",343949588
"ptx","S7S1",174270218
"ptx","S7S2",348540436
"ptx","S7S3",348540436
"ptx","S7S4",348540436
"ptx","S7S5",174270218
"ptx","S7S6",174249994
"ptx","S7S7",348540436
"ptx","S7S8",174270218
"ptx","S7S9",174270218
"ptx","W11S1",174270218
"ptx","W11S2",348540436
"ptx","W11S3",348540436
"ptx","W11S4",348540436
"ptx","W11S5",348540436
"ptx","W11S6",522810654
"ptx","W11S7",174249994
"ptx","W11S8",347913492
"ptx","W11S9",348439316
"ptx","W18S1",348499988
"ptx","W18S2",347223492
"ptx","W18S3",174270218
"ptx","W18S4",522790430
"ptx","W18S5",348540436
"ptx","W18S6",348540436
"ptx","W18S7",348378644
"ptx","W18S8",174270218
"ptx","W18S9",341098004
"ptx","W26S1",522810654
"ptx","W26S2",347223492
"ptx","W26S3",348439316
"ptx","W26S4",348540436
"ptx","W26S5",348499988
"ptx","W26S7",348540436
"ptx","W26S8",341724948
"ptx","W26S9",348540436
"ptx","W9S1",348237076
"ptx","W9S2",348499988
"ptx","W9S3",174270218
"ptx","W9S4",174270218
"ptx","W9S5",174270218
"ptx","W9S6",348540436
"ptx","W9S7",331513244
"ptx","W9S8",146971562
"ptx","W9S9",174270218
"height_profile_laz","P10S1",25891948
"height_profile_laz","P10S2",39006054
"height_profile_laz","P10S3",28985820
"height_profile_laz","P10S4",20906387
"height_profile_laz","P10S5",29036729
"height_profile_laz","P10S6",11352540
"height_profile_laz","P10S7",16291136
"height_profile_laz","P10S8",29423763
"height_profile_laz","P10S9",23264612
"height_profile_laz","P11S1",32274640
"height_profile_laz","P11S2",31832014
"height_profile_laz","P11S3",15451737
"height_profile_laz","P11S4",10086571
"height_profile_laz","P11S5",19931190
"height_profile_laz","P11S6",20885209
"height_profile_laz","P11S7",17281767
"height_profile_laz","P11S8",11163678
"height_profile_laz","P11S9",14390257
"height_profile_laz","P12S1",13661388
"height_profile_laz","P12S2",26447419
"height_profile_laz","P12S3",19528207
"height_profile_laz","P12S4",17461378
"height_profile_laz","P12S5",22160266
"height_profile_laz","P12S6",18727329
"height_profile_laz","P12S7",14318723
"height_profile_laz","P12S8",15476641
"height_profile_laz","P12S9",20248060
"height_profile_laz","P13S1",13046133
"height_profile_laz","P13S2",14862327
"height_profile_laz","P13S3",26768995
"height_profile_laz","P13S4",15036125
"height_profile_laz","P13S5",30110329
"height_profile_laz","P13S6",940724
"height_profile_laz","P13S7",18126656
"height_profile_laz","P13S8",11797043
"height_profile_laz","P13S9",23742024
"height_profile_laz","P14S1",12910723
"height_profile_laz","P14S2",18530954
"height_profile_laz","P14S3",13969797
"height_profile_laz","P14S4",10476228
"height_profile_laz","P14S5",16119143
"height_profile_laz","P14S6",14418981
"height_profile_laz","P14S7",21307484
"height_profile_laz","P14S8",12488872
"height_profile_laz","P14S9",13226491
"height_profile_laz","P15S1",16928892
"height_profile_laz","P15S2",25834292
"height_profile_laz","P15S3",14080751
"height_profile_laz","P15S4",27391507
"height_profile_laz","P15S5",14243039
"height_profile_laz","P15S6",25170121
"height_profile_laz","P15S7",16166670
"height_profile_laz","P15S8",10086062
"height_profile_laz","P15S9",12440540
"height_profile_laz","P1S1",24451441
"height_profile_laz","P1S2",36251311
"height_profile_laz","P1S3",17598381
"height_profile_laz","P1S4",31547487
"height_profile_laz","P1S5",18988165
"height_profile_laz","P1S6",19453366
"height_profile_laz","P1S7",17026988
"height_profile_laz","P1S8",23764607
"height_profile_laz","P1S9",25277315
"height_profile_laz","P2S1",26822686
"height_profile_laz","P2S2",19502934
"height_profile_laz","P2S3",21599129
"height_profile_laz","P2S4",25341831
"height_profile_laz","P2S5",31987300
"height_profile_laz","P2S6",25262998
"height_profile_laz","P2S7",22703014
"height_profile_laz","P2S8",21803004
"height_profile_laz","P2S9",11154002
"height_profile_laz","P3S1",16314284
"height_profile_laz","P3S2",14469606
"height_profile_laz","P3S3",17718403
"height_profile_laz","P3S4",18171772
"height_profile_laz","P3S5",11639375
"height_profile_laz","P3S6",10680140
"height_profile_laz","P3S7",14023182
"height_profile_laz","P3S8",21544479
"height_profile_laz","P3S9",12790988
"height_profile_laz","P4S1",21551853
"height_profile_laz","P4S2",31211590
"height_profile_laz","P4S3",10458404
"height_profile_laz","P4S4",20363161
"height_profile_laz","P4S5",14119047
"height_profile_laz","P4S6",29225490
"height_profile_laz","P4S7",16137101
"height_profile_laz","P4S8",10529616
"height_profile_laz","P4S9",10107176
"height_profile_laz","P5S1",19182717
"height_profile_laz","P5S2",41667869
"height_profile_laz","P5S3",17677191
"height_profile_laz","P5S4",16470844
"height_profile_laz","P5S5",19071304
"height_profile_laz","P5S6",18723588
"height_profile_laz","P5S7",23195832
"height_profile_laz","P5S8",15035561
"height_profile_laz","P5S9",17997740
"height_profile_laz","P6S1",14495264
"height_profile_laz","P6S2",32678548
"height_profile_laz","P6S3",16058427
"height_profile_laz","P6S4",18484837
"height_profile_laz","P6S5",8539077
"height_profile_laz","P6S6",11253876
"height_profile_laz","P6S7",13085892
"height_profile_laz","P6S8",20675508
"height_profile_laz","P6S9",20838250
"height_profile_laz","P7S1",36807221
"height_profile_laz","P7S2",27186584
"height_profile_laz","P7S3",10886619
"height_profile_laz","P7S4",31525297
"height_profile_laz","P7S5",18190007
"height_profile_laz","P7S6",13880718
"height_profile_laz","P7S7",4768007
"height_profile_laz","P7S8",15171392
"height_profile_laz","P7S9",20431732
"height_profile_laz","P8S1",18407102
"height_profile_laz","P8S2",20873036
"height_profile_laz","P8S3",25210305
"height_profile_laz","P8S4",28598795
"height_profile_laz","P8S5",23278978
"height_profile_laz","P8S6",25775598
"height_profile_laz","P8S7",21619609
"height_profile_laz","P8S8",27663080
"height_profile_laz","P8S9",22295906
"height_profile_laz","P9S1",38016972
"height_profile_laz","P9S2",21777597
"height_profile_laz","P9S3",19955417
"height_profile_laz","P9S4",28942795
"height_profile_laz","P9S5",24067570
"height_profile_laz","P9S6",23561275
"height_profile_laz","P9S7",26000851
"height_profile_laz","P9S8",11694787
"height_profile_laz","P9S9",17738778
"height_profile_laz","S3S1",17772281
"height_profile_laz","S3S2",8891726
"height_profile_laz","S3S3",19776736
"height_profile_laz","S3S4",21055906
"height_profile_laz","S3S5",11785504
"height_profile_laz","S3S6",21461537
"height_profile_laz","S3S7",16000561
"height_profile_laz","S3S8",17418711
"height_profile_laz","S3S9",12712496
"height_profile_laz","S5S1",26180711
"height_profile_laz","S5S2",12172315
"height_profile_laz","S5S3",20812522
"height_profile_laz","S5S4",26481769
"height_profile_laz","S5S5",31898818
"height_profile_laz","S5S6",18423599
"height_profile_laz","S5S7",23455620
"height_profile_laz","S5S8",24657426
"height_profile_laz","S5S9",33575306
"height_profile_laz","S7S1",9775021
"height_profile_laz","S7S2",15905969
"height_profile_laz","S7S3",17253664
"height_profile_laz","S7S4",16341583
"height_profile_laz","S7S5",10809211
"height_profile_laz","S7S6",9290988
