"plot_id","plot_name","subplot","target","point_id","lon","lat","ground_elev","antenna_elev","target_offset","target_elev","country","utm","centre"
"ABG_15","P15","S8","T2","P15S8T2",470101.0131,8326880.801,1285.8446,0.684,0.165,1286.6936,"AGO","33S",FALSE
"ABG_15","P15","S8","T3","P15S8T3",470089.7356,8326884.1452,1285.7636,0.679,0.165,1286.6076,"AGO","33S",FALSE
"ABG_15","P15","S8","T4","P15S8T4",470089.8234,8326892.3853,1285.6688,0.682,0.165,1286.5158,"AGO","33S",FALSE
"ABG_15","P15","S9","T1","P15S9T1",470136.1982,8326886.8421,1285.8921,0.696,0.165,1286.7531,"AGO","33S",FALSE
"ABG_15","P15","S9","T2","P15S9T2",470129.7648,8326876.6815,1286.4827,0.72,0.165,1287.3677,"AGO","33S",FALSE
"ABG_15","P15","S9","T3","P15S9T3",470120.6406,8326879.2427,1286.1875,0.696,0.165,1287.0485,"AGO","33S",FALSE
"ABG_15","P15","S9","T4","P15S9T4",470125.5868,8326888.1297,1285.9048,0.66,0.165,1286.7298,"AGO","33S",FALSE
"ABG_2","P2","S1","T2","P2S1T2",480007.4293,8329106.3849,1258.517,0.619,0.165,1259.301,"AGO","33S",FALSE
"ABG_2","P2","S1","T3","P2S1T3",479998.1233,8329114.3552,1258.0444,0.634,0.165,1258.8434,"AGO","33S",FALSE
"ABG_2","P2","S1","T4","P2S1T4",480006.9481,8329125.6977,1257.8319,0.639,0.165,1258.6359,"AGO","33S",FALSE
"ABG_2","P2","S1","TC","P2S1TC",480006.1567,8329114.5626,1259.0188,0.639,0.165,1259.8228,"AGO","33S",TRUE
"ABG_2","P2","S2","T1","P2S2T1",480033.1989,8329091.638,1259.3286,0.594,0.165,1260.0876,"AGO","33S",FALSE
"ABG_2","P2","S2","T2","P2S2T2",480025.2881,8329083.2,1259.4687,0.575,0.165,1260.2087,"AGO","33S",FALSE
"ABG_2","P2","S2","T4","P2S2T4",480024.4441,8329097.9394,1259.0233,0.625,0.165,1259.8133,"AGO","33S",FALSE
