"","lon","lat","elev","receiver_name","receiver_sat_sys","antenna_name"
"VACS00MUS","57.497","-20.297","420.750","SEPT POLARX5","GPS+GLO+GAL+BDS+QZSS+IRNSS","JAVRINGANT_DM"
"VALD00CAN","-77.564","48.097","313.205","TPS NET-G5","GPS+GLO","TPSCR.G3"
"VILL00ESP","-3.952","40.444","647.835","SEPT POLARX5","GPS+GLO+GAL+BDS+SBAS","SEPCHOKE_B3E6"
"VIS000SWE","18.367","57.654","80.218","SEPT POLARX5","GPS+GLO+GAL+BDS+SBAS","AOAD/M_T"
"VNDP00USA","-120.616","34.556","-11.085","TRIMBLE NETR9","GPS+GLO+GAL+BDS+QZSS","TRM59800.00"
"VOIM00MDG","46.793","-21.906","1163.786","JAVAD TR_G3TH","GPS+GLO+GAL","JAV_RINGANT_G3T"
"WAB200CHE"," 7.464","46.924","611.544","SEPT POLARX5TR","GPS+GAL","SEPCHOKE_B3E6"
"WARK00NZL","174.663","-36.434","111.710","TRIMBLE ALLOY","GPS+GLO+GAL+BDS+QZSS","TRM115000.00"
"WARN00DEU","12.101","54.170","51.174","JAVAD TRE_3 DELTA","GPS+GLO+GAL+BDS+SBAS","LEIAR25.R4"
"WDC500USA","-77.066","38.921","59.419","ITT 3750300","GPS","TPSCR.G5"
"WDC600USA","-77.066","38.921","59.419","ITT 3750300","GPS","TPSCR.G5"
"WES200USA","-71.493","42.613","85.439","TRIMBLE ALLOY","GPS+GLO+GAL","JAVRINGANT_DM"
"WGTN00NZL","174.806","-41.323","26.486","TRIMBLE ALLOY","GPS+GLO+GAL+BDS+QZSS","TRM115000.00"
"WHC100USA","-118.031","33.980","94.665","TPS NET-G3A","GPS+GLO","TPSCR.G3"
"WHIT00CAN","-135.222","60.751","1427.808","SEPT POLARX5","GPS+GLO+GAL","AOAD/M_T"
"WIDC00USA","-116.392","33.935","445.462","TRIMBLE NETR9","GPS+GLO+SBAS","TRM57971.00"
"WILL00CAN","-122.168","52.237","1096.093","TRIMBLE NETR9","GPS+GLO","TRM59800.00"
"WIND00NAM","17.089","-22.575","1735.083","JAVAD TRE_3","GPS+GLO+GAL+BDS+IRNSS+SBAS","JAVRINGANT_G5T"
"WLSN00USA","-118.056","34.226","1705.679","TPS NET-G3A","GPS+GLO","TPSCR.G3"
"WROC00POL","17.062","51.113","180.697","LEICA GR50","GPS+GLO+GAL+BDS+QZSS+SBAS","LEIAR25.R4"
"WSRT00NLD"," 6.605","52.915","86.424","SEPT POLARX5","GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS","AOAD/M_T"
"WTZ300DEU","12.879","49.145","663.837","JAVAD TRE_G3TH DELTA","GPS+GLO+GAL+SBAS","LEIAR25.R3"
"WTZA00DEU","12.879","49.144","666.350","SEPT POLARX2","GPS","ASH700936C_M"
"WTZR00DEU","12.879","49.144","666.462","LEICA GR50","GPS+GLO+GAL+BDS+IRNSS+SBAS","LEIAR25.R3"
"WTZS00DEU","12.879","49.145","663.837","SEPT POLARX5TR","GPS+GLO+GAL+BDS+IRNSS+SBAS","LEIAR25.R3"
"WTZZ00DEU","12.879","49.144","666.322","JAVAD TRE_3 DELTA","GPS+GLO+GAL+BDS+SBAS","LEIAR25.R3"
"WUH200CHN","114.357","30.532","25.541","JAVAD TRE_3","GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS","JAVRINGANT_G5T"
"WUHN00CHN","114.357","30.532","28.635","TRIMBLE NETR9","GPS+GLO+BDS","TRM59800.00C"
"XMIS00AUS","105.688","-10.450","261.985","TRIMBLE NETR9","QZSS+GPS+GLO+GAL+BDS","JAVRINGANT_DM"
"YAKT00RUS","129.680","62.031","103.813","JAVAD TRE_3N DELTA","GPS+GLO","ASH701933B_M"
"YAR200AUS","115.347","-29.047","241.704","TRIMBLE ALLOY","GPS+GLO+QZSS+GAL+IRNSS+BDS","AOAD/M_T"
"YAR300AUS","115.347","-29.047","243.087","SEPT POLARX5","QZSS+GPS+GLO+GAL+BDS","LEIAR25"
"YARR00AUS","115.347","-29.047","241.795","SEPT POLARX5","GPS+GLO+GAL+BDS+QZSS+IRNSS","LEIAT504"
"YEBE00ESP","-3.089","40.525","973.249","LEICA GR50","GPS+GLO+GAL+BDS","LEIAR20"
"YEL200CAN","-114.481","62.481","181.452","SEPT POLARX5TR","GPS+GLO+GAL+BDS+SBAS","LEIAR25.R4"
"YELL00CAN","-114.481","62.481","181.168","JAVAD TRE_3N DELTA","GPS+GLO+GAL","AOAD/M_T"
"YIBL00OMN","56.112","22.186","95.529","TRIMBLE NETR9","GPS","ASH701945C_M"
"YKRO00CIV","-5.240"," 6.871","270.584","JAVAD TRE_3 DELTA","GPS+GLO+GAL+BDS","ASH701945C_M"
"YONS00KOR","127.001","37.541","97.270","TRIMBLE ALLOY","GPS+GLO+GAL","TRM159900.00"
"YSSK00RUS","142.717","47.030","91.719","JAVAD TRE_3N DELTA","GPS+GLO","ASH701933B_M"
"ZAMB00ZMB","28.311","-15.426","1325.318","JAVAD TRE_3 DELTA","GPS+GLO+GAL+BDS","AOAD/M_T"
"ZECK00RUS","41.565","43.788","1167.416","JAVAD TRE_3 DELTA","GPS+GLO+GAL","JAVRINGANT_DM"
"ZIM200CHE"," 7.465","46.877","956.881","TRIMBLE NETR9","GPS+GLO+GAL+BDS","TRM59800.00"
"ZIM300CHE"," 7.465","46.877","956.881","TRIMBLE NETR9","GPS+GLO+GAL+BDS+QZSS+SBAS","TRM59800.00"
"ZIMM00CHE"," 7.465","46.877","956.782","TRIMBLE NETR9","GPS","TRM29659.00"
