"plot_id","subplot","stem_tag_id","tree_tag_id","distance","direction","diam","x_dim","y_dim","height","species"
"ABG_7","S6","7_444","7_444",6.8,20,6.2,1.1,1.6,4.2,"Burkea africana"
"ABG_7","S6","7_455","7_455",6.6,60,8.5,1.9,1.8,4.5,"Combretum hereroense"
"ABG_7","S7","7_717","7_717",3.6,340,6.6,0.8,1,3,"Guibourtia coleosperma"
"ABG_7","S7","7_718","7_718",3.2,340,6.4,0.5,1,3,"Combretum collinum"
"ABG_7","S7","7_715","7_715",4.1,0,10,1,1,3,"Guibourtia coleosperma"
"ABG_7","S8","7_755","7_755",2.5,220,5.9,2.1,1.8,3.8,"Combretum collinum"
"ABG_7","S8","7_754","7_754",2.5,220,8.8,2.9,2.6,4.8,"Terminalia sericea"
"ABG_7","S8","7_753","7_753",4,260,7.3,1.6,2.1,4.8,"Terminalia sericea"
"ABG_7","S8","7_757","7_757",5.2,300,9,3.6,2.8,4.6,"Terminalia sericea"
"ABG_7","S8","7_758","7_758",5.7,300,8.7,1.7,2.6,4.6,"Terminalia sericea"
"ABG_7","S8","7_760","7_760",1.5,340,6,1.4,1.5,5.4,"Terminalia sericea"
"ABG_7","S8","7_761","7_761",1.6,20,6.1,2.3,2.4,4.8,"Terminalia sericea"
"ABG_7","S8","7_762","7_761",1.4,20,5.1,2.3,2.3,4.8,"Terminalia sericea"
"ABG_7","S8","7_763","7_763",0.6,80,8.6,1.5,1.4,5.2,"Combretum collinum"
"ABG_7","S9","7_795","7_795",4.2,210,7.1,1.6,0.8,2.2,"Combretum collinum"
"ABG_7","S9","7_838","7_838",3,190,61,14.9,13.8,14.8,"Brachystegia sp. plot_7"
"ABG_7","S9","7_796","7_796",3.4,260,7,2.2,2.3,3.2,"Combretum collinum"
"ABG_7","S9","7_797","7_797",3.8,280,5.7,2.1,2.1,3,"Combretum collinum"
"ABG_7","S9","7_798","7_798",4.5,290,6.2,1.6,1.3,3,"Combretum collinum"
"ABG_7","S9","7_799","7_799",1.9,300,6.1,1.2,2.7,3,"Combretum collinum"
"ABG_7","S9","7_800","7_800",2.6,0,7.7,3,2.4,3.2,"Combretum hereroense"
"ABG_7","S9","7_801","7_801",5.4,340,6,2.5,2.8,2.8,"Combretum collinum"
"ABG_7","S9","7_834","7_834",4.1,60,5.4,1.3,1.7,3.1,"Combretum collinum"
"ABG_7","S9","7_833","7_833",4.2,70,6.6,1.7,2.2,3.1,"Combretum collinum"
"ABG_7","S9","7_835","7_835",4.9,80,6,2.6,2.2,4.1,"Combretum collinum"
"ABG_8","S1","8_30","8_30",4.3,132,6.3,1.3,1.4,3.6,"Burkea africana"
"ABG_8","S1","8_13","8_13",6.5,196,6.7,1.3,1.1,5.2,"Terminalia sericea"
"ABG_8","S1","8_14","8_14",5.4,2,13.1,1,2.8,7,"Burkea africana"
"ABG_8","S2","8_63","8_63",7.9,106,40.5,6.4,9.7,16.4,"Burkea africana"
"ABG_8","S2","8_62","8_62",4.3,162,8.5,1.1,1.1,6.8,"Burkea africana"
"ABG_8","S2","8_571","8_571",3.3,233,9,NA,NA,5.6,"Julbernardia paniculata"
"ABG_8","S2","8_570","8_570",3.3,233,12,NA,NA,5.8,"Julbernardia paniculata"
"ABG_8","S2","8_562","8_562",3,272,5.9,9.3,1.2,1.5,"Julbernardia paniculata"
"ABG_8","S2","8_42","8_42",4.3,296,8.1,1.8,2.3,6.6,"Julbernardia paniculata"
"ABG_8","S3","8_94","8_94",3.6,48,7.5,2.4,2.8,5.6,"Julbernardia paniculata"
"ABG_8","S3","8_95","8_94",3.6,48,8.5,2.4,2.8,5.6,"Julbernardia paniculata"
"ABG_8","S3","8_73","8_73",2.8,189,15.4,6.4,4.8,8,"Julbernardia paniculata"
"ABG_8","S3","8_72","8_72",3.7,234,36.1,4.7,9.5,13.2,"Burkea africana"
"ABG_8","S3","8_595","8_595",4.6,270,6.6,NA,NA,3.8,"Julbernardia paniculata"
"ABG_8","S3","8_71","8_71",5.5,245,9.7,2.3,2.2,8,"Julbernardia paniculata"
"ABG_8","S3","8_70","8_70",6.3,252,42.2,10.8,11.8,20,"Erythrophleum africanum"
"ABG_8","S3","8_597","8_597",6.3,252,8.5,NA,NA,1.6,"Terminalia sericea"
"ABG_8","S3","8_74","8_74",2.1,334,5.2,1.8,1.4,2.8,"Combretum hereroense"
"ABG_8","S3","8_84","8_84",10.2,334,18.7,5.9,5,3.8,"Julbernardia paniculata"
"ABG_8","S4","8_284","8_284",3,332,12.8,2.5,1.8,8,"Erythrophleum africanum"
"ABG_8","S4","8_288","8_288",9.3,146,22.2,6.7,7.5,9.6,"Julbernardia paniculata"
"ABG_8","S4","8_287","8_287",5.4,80,30.7,8.9,9.3,13,"Burkea africana"
"ABG_8","S4","8_285","8_285",4.7,257,34.6,7.3,7.3,11.2,"Burkea africana"
"ABG_8","S5","8_252","8_252",5,300,26.4,6,8.8,14.2,"Julbernardia paniculata"
"ABG_8","S5","8_256","8_256",5.8,300,9.3,8,4.3,4.8,"Burkea africana"
"ABG_8","S5","8_265","8_265",1.9,8,12,2.1,3,5.6,"Burkea africana"
"ABG_8","S5","8_266","8_265",1.9,8,6.7,2.1,3,5.6,"Burkea africana"
"ABG_8","S5","8_272","8_272",3.8,108,7.4,1,0.9,4.6,"Burkea africana"
"ABG_8","S5","8_271","8_271",4.6,118,9.6,0.8,0.9,4.6,"Burkea africana"
"ABG_8","S5","8_271","8_271",4.6,118,9.6,0.8,0.9,4.6,"Burkea africana"
"ABG_8","S5","8_270","8_269",3.2,122,9.1,2,2,4.6,"Erythrophleum africanum"
"ABG_8","S5","8_269","8_269",3.2,122,9,2,2,4.8,"Erythrophleum africanum"
"ABG_8","S5","8_268","8_267",3.8,148,11,2,2.1,6.2,"Burkea africana"
"ABG_8","S5","8_267","8_267",3.8,148,12,2,2,6.2,"Burkea africana"
"ABG_8","S6","8_228","8_227",2.7,264,12.9,2.7,3,6.8,"Burkea africana"
"ABG_8","S6","8_227","8_227",2.9,270,13.5,2.7,3,6.8,"Burkea africana"
"ABG_8","S6","8_226","8_226",3.3,252,15.6,2.5,3.1,11.4,"Julbernardia paniculata"
"ABG_8","S6","8_224","8_224",4,252,7.3,0.9,0.9,3.2,"Burkea africana"
"ABG_8","S6","8_225","8_225",4.1,265,6.2,0.9,0.6,3.2,"Burkea africana"
"ABG_8","S6","8_229","8_229",4.2,292,13.4,3.4,3,12.2,"Julbernardia paniculata"
"ABG_8","S6","8_230","8_230",4.8,298,15.7,2.3,2.6,12.2,"Julbernardia paniculata"
"ABG_8","S6","8_631","8_631",5.2,312,7.5,2,3.6,4,"Julbernardia paniculata"
"ABG_8","S6","8_222","8_222",2.4,22,6.4,NA,NA,2.3,"Pseudolachnostylis maprouneifolia"
"ABG_8","S6","8_176","8_175",6.3,30,30,9.2,6.6,5.8,"Burkea africana"
"ABG_8","S6","8_232","8_232",2.4,30,11.2,2.4,2,6.4,"Burkea africana"
"ABG_8","S7","8_444","8_444",3,140,8,1.8,1.8,3.2,"Combretum collinum"
"ABG_8","S7","8_427","8_427",4.1,182,5.7,1.7,1.5,3.8,"Combretum collinum"
"ABG_8","S7","8_425","8_425",4.6,190,6.3,2.7,2.2,3.8,"Combretum hereroense"
"ABG_8","S7","8_426","8_425",4.6,190,7.1,2.7,2.2,3.8,"Combretum hereroense"
"ABG_8","S7","8_424","8_424",3.8,208,15.5,4.2,3.4,7.4,"Julbernardia paniculata"
"ABG_8","S7","8_639","8_639",4.9,350,10,NA,NA,4.6,"Terminalia sericea"
"ABG_8","S7","8_395","8_395",6.4,0,8.5,2.4,2.3,7.2,"Burkea africana"
"ABG_8","S7","8_445","8_445",8.1,82,10.6,NA,NA,1,"Strychnos spinosa"
"ABG_8","S8","8_480","8_480",3,66,19.3,2.7,1.8,8.4,"Burkea africana"
"ABG_8","S8","8_482","8_482",6,40,9,5.7,6.1,4.6,"Combretum collinum"
"ABG_8","S8","8_486","8_486",7.1,160,30.3,1.7,1.5,14,"Burkea africana"
"ABG_8","S8","8_487","8_386",7.1,160,17.6,1.7,1.5,14,"Burkea africana"
"ABG_8","S8","8_601","8_601",3.3,200,8.5,NA,NA,3.8,"Terminalia sericea"
"ABG_8","S8","8_689","8_689",5.4,280,5.3,2,2.1,3,"Diplorhynchus condylocarpon"
"ABG_8","S8","8_479","8_479",3.6,340,15,1.7,2.4,8.6,"Burkea africana"
"ABG_8","S9","8_515","8_515",5.3,328,14,3.5,2.9,8.2,"Burkea africana"
"ABG_8","S9","8_514","8_513",6.2,340,14.8,4.8,4.4,11.8,"Julbernardia paniculata"
"ABG_8","S9","8_513","8_513",6.2,340,16.1,4.8,4.4,11.8,"Julbernardia paniculata"
"ABG_8","S9","8_537","8_537",6,10,6.4,1.3,1.3,6.3,"Combretum collinum"
"ABG_8","S9","8_540","8_540",3.2,20,5,0.7,0.6,3,"Terminalia sericea"
"ABG_1","S1",NA,NA,7.1,8,2.4,2.6,4.8,NA,"Erythrophleum africanum"
"ABG_1","S1",NA,NA,7.2,32,5.5,2.7,2.5,NA,"Combretum collinum"
"ABG_1","S1",NA,NA,6.5,78,10.2,2.1,2,NA,"Pterocarpus angolensis"
"ABG_1","S1","1_43","1_42",5,95,6.7,2.7,2.7,7.2,"Combretum collinum"
"ABG_1","S1",NA,NA,5.7,108,11.5,1.7,1.8,NA,"Pterocarpus angolensis"
"ABG_1","S1",NA,NA,5.7,108,6.2,1.7,1.8,NA,"Pterocarpus angolensis"
"ABG_1","S1","1_46","1_46",6.7,132,13.7,2.3,5,7.6,"Combretum collinum"
"ABG_1","S1","1_41","1_41",2.8,128,8.2,2.1,2.6,3.6,"Bridelia mollis"
"ABG_1","S1",NA,NA,5.2,211,9.5,1.6,2.5,NA,"Pterocarpus angolensis"
"ABG_1","S1",NA,NA,6.7,202,9.5,4.5,4.3,NA,"Combretum collinum"
"ABG_1","S1",NA,NA,5.8,224,8.8,2.6,10.5,NA,"Combretum collinum"
"ABG_1","S1",NA,NA,2.6,242,6.7,3.4,2.7,NA,"Strychnos spinosa"
"ABG_1","S1","1_32","1_30",7.2,270,16.2,6.3,6,6.5,"Diplorhynchus condylocarpon"
"ABG_1","S1",NA,NA,7.2,270,11,6.3,6,NA,"Diplorhynchus condylocarpon"
"ABG_1","S1",NA,NA,7.2,270,9.2,6.3,6,NA,"Diplorhynchus condylocarpon"
"ABG_1","S1",NA,NA,7.2,270,12.3,6.3,6,NA,"Diplorhynchus condylocarpon"
"ABG_1","S1",NA,NA,3.1,324,12.8,5.1,4.8,NA,"Burkea africana"
"ABG_1","S2","1_71","1_71",3.3,320,6.5,5.2,3.3,5.4,"Burkea africana"
"ABG_1","S2","1_72","1_72",2.7,300,6.1,0.5,0.2,4.9,"Diplorhynchus condylocarpon"
"ABG_1","S2","1_73","1_73",4,300,9.3,2.7,2.7,6.6,"Burkea africana"
"ABG_1","S2","1_62","1_62",7.5,280,42.7,16.5,11.1,15.2,"Julbernardia paniculata"
"ABG_1","S2","1_74","1_74",3.5,260,5.8,3.6,4.4,4,"Bridelia mollis"
"ABG_1","S2",NA,NA,3.5,260,9.1,3.6,4.4,NA,"Bridelia mollis"
