plot_name,subplot,direction,vol,plot_id,dpm,sampled,date,dry_mass
P14,S7,S,0.113029608,ABG_14,6,TRUE,21/03/2019,14.32
P14,S7,W,0.061766894,ABG_14,5,FALSE,21/03/2019,NA
P14,S8,E,0.216844627,ABG_14,8,FALSE,21/03/2019,NA
P14,S8,N,0.540859502,ABG_14,9,FALSE,21/03/2019,NA
P14,S8,S,0.145107109,ABG_14,9,FALSE,21/03/2019,NA
P14,S8,W,0.21178342,ABG_14,13,FALSE,21/03/2019,NA
P14,S9,E,0.289963182,ABG_14,18,FALSE,21/03/2019,NA
P14,S9,N,0.289183367,ABG_14,12,FALSE,21/03/2019,NA
P14,S9,S,0.425094598,ABG_14,9,FALSE,21/03/2019,NA
P14,S9,W,0.282913097,ABG_14,19,FALSE,21/03/2019,NA
P15,S1,E,0.236325333,ABG_15,17,FALSE,23/03/2019,NA
P15,S1,N,0.313981785,ABG_15,12,FALSE,23/03/2019,NA
P15,S1,S,0.190398609,ABG_15,8,FALSE,23/03/2019,NA
P15,S1,W,0.118908785,ABG_15,17,FALSE,23/03/2019,NA
P15,S2,E,0.399579081,ABG_15,19,FALSE,23/03/2019,NA
P15,S2,N,0.273990112,ABG_15,9,FALSE,23/03/2019,NA
P15,S2,S,0.156421921,ABG_15,16,FALSE,23/03/2019,NA
P15,S2,W,0.346306279,ABG_15,9,FALSE,23/03/2019,NA
P15,S3,E,0.379637695,ABG_15,5,FALSE,23/03/2019,NA
P15,S3,N,0.270792204,ABG_15,5,FALSE,23/03/2019,NA
P15,S3,S,0.350241054,ABG_15,18,TRUE,23/03/2019,25.24
P15,S3,W,0.657412222,ABG_15,32,FALSE,23/03/2019,NA
P15,S4,E,0.222264191,ABG_15,18,FALSE,23/03/2019,NA
P15,S4,N,0.299173559,ABG_15,5,FALSE,23/03/2019,NA
P15,S4,S,0.203121269,ABG_15,19,TRUE,23/03/2019,53.5
P15,S4,W,0.133658266,ABG_15,8,TRUE,23/03/2019,28.65
P15,S5,E,0.218645928,ABG_15,11,FALSE,23/03/2019,NA
