"plot_id","subplot","layer_div","auc_canopy","height_q95","height_q99","dens_peak_height","point_cov","shannon","cum_lm_resid","cum_lm_slope","cum_lm_se","weib_shape","weib_scale","n_maxima","n_minima"
"ABG_15","S9",8.24845764367467,6957.28625,9.5,10.75,9.2,0.782762867938033,2.67086283991754,507.183678064271,831387.219416194,21229.2639800611,1.29150504410117,16300.9550139771,1,1
"ABG_1","S1",23.4331423510819,40938.6025,13.3,18.6,6.6,0.916160778522189,3.16527824195969,5462.38892560768,4390751.51380193,95711.7781342045,1.0449159226069,47450.12677883,4,3
"ABG_1","S2",28.3093128702085,71519.6375,18.4,19.5,6.75,1.07646370538695,3.28648412410499,6883.52237091783,8892589.69299629,114664.690850273,1.23399235712475,81486.074864059,3,4
"ABG_1","S3",16.5818485356188,21160.035,12.15,12.85,11.75,0.667281415060797,2.92009729900555,1047.76818251116,2189457.27236096,36387.8792841578,1.57197622755844,41560.8682504687,2,2
"ABG_1","S4",23.9932862633267,55283.1825,14.15,14.7,13.05,0.699069529450096,3.07211061971402,3535.19716611943,5876870.10931131,102833.161921203,1.6020464067982,92989.8421727497,2,4
"ABG_1","S5",16.4722754885356,28737.0775,8.55,11.6,4.95,0.715890070391927,2.73036847336885,2244.01927755918,3519963.44685972,85225.9803309954,1.2074585096019,62366.2631052586,3,2
"ABG_1","S6",15.3538764130718,25586.02,10.3,12.7,2.95,0.808608377735803,2.80360627822073,2312.28119427045,2719499.64403594,77244.1252860426,1.16227761502623,46694.9556448838,3,3
"ABG_1","S7",15.828915381005,18802.1925,12.65,14.25,5.2,0.855627479074777,2.99235886962598,1829.70435577362,2134136.05639057,48434.3621754829,1.38451280719069,31536.9468373236,2,3
"ABG_1","S8",23.6837571472269,59318.96875,20.15,20.45,5.1,1.14415796949921,3.16067308072031,2819.96455422048,4984282.32110964,63249.8794725405,1.21620337013152,78197.1583128122,4,3
"ABG_1","S9",24.680986709975,44477.64125,14.35,15.2,6.5,0.816030634197512,3.08975772617262,2491.12189085615,5662019.61349372,63536.1208514658,1.41451466544428,75387.2716402239,4,3
"ABG_2","S1",15.7869771774181,36506.42,13.85,14.5,13.8,0.917442701593734,2.87441818833761,4237.61389650536,3901705.48695544,113988.437564836,1.05606565124347,55805.2576235478,3,3
"ABG_2","S2",25.549077507312,35470.54875,13.7,15.8,5.05,1.03404871000073,3.15823185366396,4299.42885536476,4634729.70395048,74709.442352012,0.967990847343365,41214.5998300109,4,4
"ABG_2","S3",10.5575726615397,54022.69625,12.9,18.85,5.05,2.07792270412956,2.34828663797181,5535.96591872664,3157387.51143392,181438.960900039,0.647344100411141,53885.2333264372,3,3
"ABG_2","S4",16.2275698035199,63265.89625,19.7,21.1,5.1,1.84570235947249,2.78300225144028,6077.66479649732,4172902.31237391,137675.695798345,0.79981046963004,60565.1913229307,3,2
"ABG_2","S5",26.5859508980432,62765.5425,17.75,18.85,4.95,1.37789241898628,3.18246822446646,4305.08200453213,7390067.3772191,84250.3729132172,1.10818718627554,75186.7735166533,4,4
"ABG_2","S6",15.6423695805156,29464.32375,13.35,18.1,11.35,0.788286894151062,3.19267432789959,2292.98048740551,3868330.26814925,48569.5381793631,1.36378411881502,41265.7652558043,4,5
"ABG_2","S7",13.9724953273378,27090.9525,8,8.9,2.25,0.371262836482811,2.63997616921823,296.353775374277,3200275.72041789,21518.4018938324,3.02876449548295,84318.752259948,2,1
"ABG_2","S8",13.4821506197809,22923.885,10.65,16.1,6.35,1.25725123545452,2.9518456118533,3239.75415609334,2585240.22698145,68703.96027733,0.964231158861982,28935.0429262839,3,5
"ABG_2","S9",13.0330170705725,20290.52875,8.2,9.6,6.4,1.73026835008972,2.20454688525122,1436.83776334586,3071335.36933661,73451.5283823869,0.82803844609172,41117.6774313159,2,1
"ABG_3","S1",13.3716778279305,19431.04125,10.1,11.1,8.85,0.660464364303479,2.80375356857713,1013.89474185499,2646979.07481612,40503.5609519328,1.56376262576308,43192.653119156,2,3
"ABG_3","S2",11.6411872820962,15906.98375,9.75,10.4,8.75,0.875524130167469,2.54441221114982,1291.69103551398,1985641.83193745,59167.0208896263,1.15110826328784,36901.1318411919,1,1
"ABG_3","S3",13.0221657212101,23268.91625,10.05,10.85,8.65,0.787041423318233,2.65539306134207,1639.55553372852,3116435.46999944,71570.6769095683,1.32951579017672,53334.8810598201,1,2
"ABG_3","S4",14.023491204417,25090.51375,9.95,11,9.5,0.712969553272647,2.71438023105078,1510.6311664019,3432456.70158285,65415.5843816617,1.46330186678557,57503.2504053789,1,0
"ABG_3","S5",8.49576165524684,7639.29625,8.2,9.65,5.95,0.583429486498351,2.69569809022403,271.008444186778,1096159.92225627,13405.2736495206,1.76280549959673,19713.8769534508,1,1
"ABG_3","S6",9.87333132998702,10145.11,7.9,9.95,6.25,1.19826155689146,2.46283942944328,736.092495830056,1511114.98008112,31046.6496789244,0.896422088356699,18982.4348114818,3,2
"ABG_3","S7",11.4113584391143,15256.75375,8.25,9.3,5.4,0.374029584058746,2.67416664422978,255.783011621411,2033951.36842037,15453.0971279056,3.10443870933446,45115.2475028826,2,0
"ABG_3","S8",17.0107243838945,32705.81125,10.3,11.55,7.6,0.702188688274884,2.85159936069943,1767.74136580009,4679112.2689527,65510.2653597052,1.41189034117342,68113.1419797565,1,3
"ABG_3","S9",11.4243698737253,11208.265,9.1,10.9,7.9,0.616590767417803,2.89450370306949,671.875341699202,1508734.45128267,24894.9712503814,1.4750199113156,22967.6869736069,4,3
"ABG_4","S1",17.8124783188453,24554.19875,17.3,18.5,12.45,0.593283188799535,3.36225336990564,1750.1403385367,2984276.14884945,30098.3264753108,1.69214790833321,33443.3195525464,4,3
"ABG_4","S2",17.5380431368259,44844.5325,10.55,11.7,8.75,0.414115707521779,2.96603781064613,1090.3852250526,5857870.17508808,40690.6532658637,2.62311990886285,99283.3573320101,2,3
"ABG_4","S3",14.7851939277823,12985.59375,15,16.05,6.7,1.20728882567994,2.9497456720241,888.270145900511,1617093.77513771,21707.0079661283,1.04517553743608,17333.4441505971,2,4
"ABG_4","S4",11.3950397417119,50827.4025,15.4,16.8,6.4,1.75830503063517,2.4276013856976,2762.58937045976,3804811.68240904,129321.222854634,0.832418371402887,71260.8810458056,3,2
